Meanings,English Definition,POS,J Translation
positively,definitely or certainly,adv,確実に；前向きに
presume,to think that something is probably true,verb,推定する
processor,a machine or company that prepares something and makes it ready for use,n,処理装置；加工機；加工業者
productive,doing a lot of work and achieving a lot,adj,生産的な
productivity,rate at which something is made or that people work,n,多産；生産性
progression,process of developing over time,n,発達；進歩
progressive,believing in modern ideas about social change,adj,進歩的な
projection,an image on a screen,n,投影；投射
pronounce,to make the sound of a word or letter with your voice,verb,発音する
punch,to make a quick hit with a closed hand,verb,殴る，パンチ
punish,to make someone suffer for bad behavior,verb,罰する
punishment,the act of punishing someone,n,罰
purely,for no other reason; only and completely,adv,純粋に
quotation,"words that a person has said or written in a play, book or movie",n,引用；相場；見積書
ray,the lines of light coming from an object,n,光線
reactive,easily reacting to; responsive,adj,反応の
reactor,device to control nuclear energy as a power source,n,原子炉
recipe,directions for making something,n,レシピ 
reliability,a quality that makes someone or something dependable and deserving of trust,n,信頼性
replacement,"the act of putting something new in the place of something that is old, broken or missing",n,交換
resistant,not affected by something,adj,抵抗する；耐性のある
ridiculous,"something that deserves laughter, is foolish or funny",adj,ばかげた
rope,a thick string made by twisting many fibers together,n,ロープ
rub,to move something back and forth along a surface,verb,こする
selective,choosing through thoughtful comparison,adj,選択的な
separately,not with another person or thing,adv,別々に
separation,a line that seperates; a point of parting; a gap,n,分離
similarity,the degree to which people or things are the same,n,類似
slavery,"(n,) the state of being a slave",n,奴隷制度
snake,an animal with with a long thin body and no arms or legs,n,ヘビ
socially,being with other people,adv,社会的に
specification,a detailed description of the design and materials used to make something.,n,仕様
spray,to make water or liquid fly in very small drops,verb,スプレー，スプレーする；散布する
stabilize,"to make something stable or consistent, with no major changes",verb,安定させる
standardize,to change something in order to make everything the same or make everything agree,verb,標準化する
sword,a long metal weapon with a sharp point and edge,n,剣
tech,short for 'technology' or 'technician',n,科学技術
tempt,"to make someone want something, even if it's bad",verb,誘惑する
tense,stretched tight and stiff,adj,緊張した；ピンと張った
traditionally,something done in a customary or traditional manner,adv,伝統的に
tricky,difficult to do or deal with; something that needs skill,adj,巧妙な；扱いにくい
unstable,likely to move from its position or fall,adj,不安定な
variability,(statistics) degree scores depart from the mean,n,変動
variance,(statistics) amount of difference in distributions,n,分散
variant,thing that differs from something of the same kind,n,変異
wisdom,knowledge gained from experience in life,n,知恵
absorb,to take in a liquid; soak up,verb,吸収する
absorption,"process of being absorbed (e.g. liquid, attention)",n,吸収
accelerate,to increase the speed or rate of something,verb,加速する
acceleration,increase in the speed or rate of something,n,加速
accumulate,To gather or acquire so that you have more of it,verb,蓄積する
accumulation,The act of getting or becoming bigger or more over time,n,蓄積
accuracy,being exactly right; correctness,n,正確さ
accurately,exactly and without any mistakes; correctly,adv,正確に
acid,sour substance that reacts with metals e.g. lemon,n,酸
acidic,containing acid,adj,酸性の
admission,the act of taking responsibility for an error or mistake,n,自白
adolescent,Teenager developing into an adult,n,青春期の若者
affirm,"to state, strengthen or support a belief you have",verb,確認する
agriculture,the science of farming,n,農業
alien,person or creature from a planet other than Earth,n,外国人；宇宙人
alliance,A group of people or organizations being joined or associated,n,同盟；提携
allocate,To distribute or set apart for a plan or purpose,verb,割り当てる
allocation,The distribution of items set apart according to a plan or purpose,n,割り当て
approximate,about; not exact but close,adj,約；大体の；おおよその
approximation,"something that is similar, but not an exact copy",n,近似
archaeology,"the study of ancient societies by looking at old tools, bones and buildings",n,考古学
architect,person who designs and advises on buildings,n,建築家
aspect,"an element, feature, or quality of something",n,面；様相
assembly,a group of machine parts forming a tool or machine,n,組み立て
assert,To state or declare your ideas positively strongly,verb,断言する
assignment,A duty that you are give to do (especially in the armed forces),n,任務； 業務； 職
athletic,fit and strong; physically capable,adj,たくましい；強健な
atom,smallest bit that matter can be broken down into,n,原子
atomic,concerning atoms,adj,原子の
audit,to examine carefully for accuracy,verb,監査
bacteria,the very small creatures that sometimes cause disease in humans and animals,n,細菌
bacterial,concerning or caused by bacteria,adj,細菌の
bargain,something bought for a lower price than expected,n,バーゲン； 安売り
beam,a long piece of metal or wood; a line of light or energy,n,梁（はり）；光線；ビーム
behavioral,concerning the way people act,adj,行動の
cattle,cows or bulls on a farm,n,畜牛
circulate,to go round continuously,verb,循環する
circulation,the movement of blood through the body,n,循環
civilization,a highly developed society,n,文明
clarify,to state again so that a point is clearer,verb,明確にする
client,person paying for professional services,n,依頼人；顧客
clinic,local medical center; department of a hospital,n,診療所
colonial,of a system where one country controls another,adj,植民地の
colony,country or settlement controlled by another country,n,植民地
communicative,talkative; cooperative in giving information,adj,コミュニケーションのための；情報伝達の
communist,believer in communism,adj,共産主義者
compensate,to give (money) to as a form of correcting a loss,verb,補償する
competent,fully qualified or capable of doing,adj,有能な
composer,a music writer,n,作曲家
conceive,"to think of, or create, something new (e.g. idea, child)",verb,思い付く；妊娠する
conception,an idea or notion; the first stage in pregnancy,n,概念
conceptual,characterized by concepts or the forming of concepts,adj,概念の
conduction,"the transmission of heat, electricity or sound",n,伝導
confine,to keep something or someone within a limited area so it cannot escape,verb,閉じ込める
consent,to agree or allow to do something,verb,承諾，同意する
conservation,the management of land and water in ways that stop it from being damaged,n,保全
conserve,to keep safe,verb,保存する；節約する
constitution,a law determining the fundamental political principles of a government,n,憲法；構成
constrain,To make someone do something by strong persuasion or force,verb,強制する; 抑制する
consultation,a discussion between people to make a decision,n,相談；協議
consumption,how much is spent on things; the process of eating and drinking,n,消費
continent,one of the very large areas of land on Earth that are usually divided into several countries,n,大陸
contradict,"to disagree, to say the opposite is true",verb,矛盾する；否定する
contradiction,the act of saying that something is not true or very different,n,矛盾；否定
contradictory,"containing information, statements, or beliefs that do not agree with one another",adj,矛盾した
controversy,strong public disagreement about something,n,論争
coordinate,to bring order and organization to something; in maths: any of the magnitudes that serve to define the position of a point or line by reference to a fixed figure or system of lines.,verb,調整する； まとめる
coordination,organizing people or things to make them work together effectively,n,調整
correlate,to show the relationship between two items or events.,verb,相関がある
correlation,a measure of the relationship between two variables,n,相互関係
correspondence,"Communication by letters, emails or text messages",n,文通； 通信
corruption,"actions that are illegal or morally questionable, often performed by a person in a position of power",n,汚職；腐敗；破損
criteria,standard used to make judgments or decisions,n,基準
critically,in a way that is serious or dangerous; vitally,adv,批判的に
crystal,a solid formed by the solidification of a chemical,n,結晶
curriculum,group of related courses in a school or college,n,カリキュラム
cyclic,a series of regular and repeated actions,adj,循環の；環式の
damp,a little wet,adj,湿った
deliberately,"in a careful, considered manner",adv,意図的に
demonstrator,person who shows how something works e.g. product,n,証明者
dense,very thick and difficult to see/get through,adj,濃い；密集した
depict,to describe someone or something,verb,描写する
derivative,something that has developed or been obtained from something else,adj,派生物；派生語，派生した
dictate,to speak while another person (or computer) writes the words down,verb,書き取らせる；口述する
dimensional,having parts that extent in a number of directions,adj,次元の
disability,a condition that limits a person's ability to do something,n,身体障害
discharge,to release someone or something,verb,発砲；排出；解任，排出する；放電する
discourse,"talk, conversation",n,談話
discrimination,the ability to recognize the difference between things; treating different groups of people unfairly,n,差別；識別
distribution,#NAME?,n,配布；分布；流通
diverse,very different from each other,adj,多様な
dominant,strongest,adj,支配的な
domination,authority; rule; control,n,支配
dose,an amount of medicine to be taken at any one time,n,服用量
drain,"a pipe that removes water, or other liquids",n,配水管，排出する
drift,to move slowly,n,漂流，漂う
effectiveness,the degree of how well something works or is done,n,有効性
elaborate,to be made or done with great care or with much detail,adj,手の込んだ
elevate,to make something higher,verb,高くあげる
elevation,the height of a place,n,高度
elimination,the act or process of removing or being removed,n,除去
elite,important people of high status,n,エリート、上流階級、幹部
emergence,the process of emerging/coming out,n,出現
emission,a substance (e.g. gas) released into the air,n,放出；排出量
emit,"formal to release or send out (a gas, etc)",verb,出す；発する
enforcement,the act or process of making sure that rules are followed,n,施行
essentially,"basically, primarily",adv,本質的に
estimation,judgment; opinion; guess at the value of,n,推定
evident,"plain, clear",adj,明らかな
evolutionary,concerning evolution,adj,進化の
execute,"To kill someone, usually as an official punishment",verb,死刑執行する
execution,killing a person as a (usually legal) punishment,n,処刑
explicit,definite; clearly stated; specific,adj,明示的な
explicitly,clearly; specifically,adv,明示的に
exploit,to use something or someone selfishly or unethically,verb,不当に利用する；搾取する
fabric,cloth,n,織物
facilitate,To make an action or process easier,verb,促進する
faculty,the teachers in a school or college,n,学部；教授陣；能力
fertility,the state of a female being able to produce young,n,肥沃；繁殖力
fiber,"a thin, threadlike part of an animal hair or plant tissue; an artificial thread; body cells that form muscles and nerves; a food substance",n,繊維 ；ファイバー
flesh,the soft parts of the body,n,肉
flexibility,the quality of being able to be bent or stretched,n,柔軟性
formally,in a formal manner; officially,adv,正式に
formulation,"the development of a plan, system, or proposal",n,形成；策定
founds,"to be based on, started or created by",verb,設立する
fundamentally,in a basic and important way,adv,根本的に
genetically,"caused or controlled, or by genes",adv,遺伝的に
genetics,"the scientific study of genes, how a living things develop between generations",n pl.,遺伝学
globalization,"international spread of something, e.g. company",n,世界化
goods,general term for things that are bought or sold,n pl.,商品
grasp,to grip something firmly with the hands,verb,握る；把握する，握ること
gravity,the force that makes things fall down towards the ground,n,重力
gross,total amount; extreme or unreasonable,adj,気持ち悪い
hip,the upper part of the leg,n,臀部；腰
ideology,ideas or beliefs which form theory and policy,n,イデオロギー
immune,"not affected by something, such as a disease",adj,免疫
impact,a striking effect or result to hit with force,n,影響，影響を与える
independently,in a manner being free from the control of another,adv,独立して
inevitably,happening with complete certainty,adv,必然的に
infect,to give someone a disease,verb,感染する
infectious,"capable of causing infection, by the spreading of a bacteria or virus to others",adj,伝染性の
initiate,to start,verb,始める
initiation,"a formal entry into an organization, position or office",n,開始
inject,to put medicine into someone with a syringe,verb,注入する
injection,a way to put (inject) a drug or another substance into your body,n,注射；注入
insert,to put something in something,verb,挿入する
instinct,"the natural way a person or animal thinks or behaves, knowledge that is not learned",n,本能
integration,act of bringing things together into a whole,n,統合
interact,"an action that is answered by a reaction, verbal or physical",verb,相互に作用する
interfere,to get involved in the business of others without invitation,verb,干渉する
intervene,"to get involved, to prevent trouble",verb,介入する
invasion,an entry into a place for the purpose of taking control,n,侵略
irrelevant,"not important, not related to the topic",adj,無関係の
justification,a reason or fact that explains why something happens or exists,n,正当化
lecturer,a junior teacher in university,n,講師
legend,"old story generally believed, although not proven",n,伝説
legitimate,being reasonable and sound,adj,正当な；合法な
liable,legally responsible for something,adj,法的責任がある
logical,sensible; reasonable,adj,論理的な
magnetic,"having the properties of a magnet, being able to attract.",adj,磁気の
manipulate,to control something or someone,verb,操作する
manipulation,the act of controlling something or someone,n,操作
manual,needing the use of physical strength or work; a book of information or instructions,adj,手引書；マニュアル
marginal,very small; on the edge; not important,adj,縁の；余白の
mechanic,a person who looks after machinery,n,機械工
mechanical,using or having to do with machines,adj,機械的な
media,"means of communication (tv, newspapers, internet)",n,メディア；マスコミ
merge,to cause two or more things to become combined into one,verb,合併する
methodology,system of practices or techniques to show how to do tasks,n,方法論
migrate,to move from place to another to live or work,verb,移動する; 移住する
migration,the process by which people or animals move to another place,n,移動；移住
missile,"a weapon, usually thrown, shot or launched",n,ミサイル
mobility,the ability to move,n,動きやすさ；移動性
modification,"a small change to a machine, system, or plan",n,変更
molecular,about or caused by molecules,adj,分子の
molecule,two or more atoms chemically combined,n,分子
morality,beliefs or ideas about what is right and wrong,n,道徳；倫理
mortality,the quality or state of being human and being able to die,n,死亡率
motive,a reason for doing something,n,動機
myth,a popular belief that is false or unsupported by fact,n,神話
naked,not wearing any clothes; without covering,adj,裸の
neutral,not involved; without strong feeling; without electrical charge; not acidic or akaline,adj,中立の
objection,reason for not supporting or agreeing with a plan,n,異議
obtain,To be given or to earn something through efforts,verb,得る
occupation,a career or regular job,n,職業；占有
oral,by mouth,adj,口頭の
organ,large wind instrument similar to a piano,n,オルガン
orientation,"the ability to locate oneself in your environment with reference to time, place, and people",n,適応；オリエンテーション；方向性；位置
peasant,"a person of low social status, usually who works on a farm",n,小作人
philosopher,a person who studies ideas about things such as the meaning of life and truth,n,哲学者
philosophical,concerning philosophy,adj,哲学的な
powder,a dry substance made up of very small pieces,n,粉末
practitioner,"a person working in a profession, such as medicine",n,（専門職・技術などの）開業者；（特に）開業医
precede,to go before,verb,先行する
prediction,a statement of what will happen next.,n,予測
probe,a system or piece of equipment that is used to get information; in medicine: a long thin instrument used for looking inside your body,verb,探査；プローブ，探査する
profound,showing a lot of deep knowledge or thought,adj,深遠な
prominent,being important or well known,adj,著名な
psychiatric,concerning or used in psychiatry,adj,精神科の
psychologist,an expert who studies the mind and behavior,n,心理学者
psychology,the study of the mind and how it affects behaviour,n,心理学
publish,"to prepare a book, journal, magazine and make it available",verb,出版する；発表する
puzzle,a problem that requires thought and skill to be solved,n,困らせる；当惑する，パズル
quantitative,the describing or measuring of quantity.,adj,量的な
radiation,"energy that is radiated or transmitted in the form of rays, waves or particles.",n,放射線
randomize,to arrange in a random order,verb,無作為化する
randomly,with no pattern or clear purpose; by chance,adv,無作為に
rational,sensible; based on facts,adj,合理的な
rationality,being able to think clearly,n,合理性
reconstruct,to rebuild something after it has been destroyed,verb,再構築する
regime,a system of management; a form of government,n,政権；体制
reinforce,to strengthen,verb,強化する；補強する
rejection,the act of refusing to consider or believe something,n,拒絶
render,"to cause someone or something to behave in a particular way, or to enter into a particular condition",verb,〜の状態にする；与える
reproduce,to make a copy of something,verb,再生する；繁殖する
reproduction,the process that produces the next generation,n,再生；生殖作用
republic,a country governed by elected representatives,n,共和国
resemble,to be similar to someone or something in looks or manner,verb,似ている
revolutionary,a significant change in something,adj,革新的な
rhythm,a pattern of sound and beats in music,n,リズム
ritual,performed as part of a formal ceremony,n,儀式
scatter,to make things separate and go in different directions,verb,まき散らす
sensible,having the ability to judge something reasonably,adj,賢明な；分別のある
sensitivity,being sensitive; in physiology: the ability of an organism or part of an organism to react to stimuli; in electronics: the ability of a radio device to react to incoming signals,n,感受性；感度
shortly,quickly; soon,adv,まもなく
simultaneously,at the same time as,adv,同時に
sin,a bad act; to do something bad,n,罪
sophisticate,to make more complex or refined,verb,洗練させる
sponsorship,money given to a student to pay for education,n,資金援助
statistical,about statistics,adj,統計的
statistically,with respect to statistics,adv,統計的に
statistics,a type of mathematics that provide specific information or prove something,n pl.,統計
strategic,concerned with strategy; well thought out,adj,戦略的な
strictly,restricted to something,adv,厳密に
substitution,a person or thing acting or serving in place of another; to put (a person or thing) in the place of another.,n,代用；置換
subtle,"difficult to notice, understand, or see",adj,微妙な; 繊細な；巧妙な
sufficiently,to a degree great enough to do something,adv,十分に
suicide,the act of purposely killing yourself because you no longer wish to live,n,自殺
superior,better; higher quality,n,上の，上司
sustainable,capable of continuing for a long time at the same level; does not damage the environment,adj,持続可能な
swell,"to become larger than normal, often because of injury",verb,膨張する
symbolic,representing a larger quality,adj,象徴的な；記号の
technically,in an exact and particular manner,adv,技術的に；専門的に言うと
theorist,a person who forms new ideas,n,理論家
thereby,by that means; because of that,adv,それによって
ton,a unit of weight equal to 907 kilograms,n,トン
transaction,an exchange; in business this usually involves money,n,取引
transformation,a complete change in shape or form of something,n,変換
translation,changing from one form to another. e.g. changing from one language to another,n,翻訳
transmission,an electronic signal that has been sent by radio waves; a force that has been transferred from one machine to another,n,伝送；通信
transmit,to broadcast by using electrical signals to a radio or TV,verb,送信する
treaty,an agreement between nations,n,条約
tremendous,"having great size, excellence, or power",adj,途方もない
tribe,"a racial group united by language, religion and customs",n,部族
ultimate,"happening or coming at the end of process, final",adj,究極の; 根本的な
unity,being in full agreement; being joined together,n,単一性；統一
utility,"being useful; a public service such as gas, water, or electricity that is used by everyone",n,実用性；公益事業
vague,not clearly stated,adj,ぼんやりした
valid,sound; just; well-founded,adj,正当な；有効な
validity,how true something is; in statistics: the ability of a test to measure what it is intended to measure.,n,妥当性
virtue,a good quality,n,美徳
weave,to make something by crossing threads over and under each other,verb,織る
activate,To make something start working,verb,始動する
acute,strong; very serious or severe,adj,鋭い；深刻な；急性の
adjacent,"being close or near to a border, wall, or point",adj,隣接した
adverse,negative or harmful,adj,逆の；不利な
aesthetic,concerning the sense of artistic beauty,adj,美的な
aluminum,very light silvery-white metal used to make cans,n,アルミニウム 
ancestor,a person from your family that lived in the past,n,祖先
anthropology,the study of human origins and the development of society,n,人類学
array,a large group of people or things; a regular order or arrangement; in maths: a series of figures.,n,配列
arrow,a symbol to give direction; a long piece of wood shot from a bow,n,矢印
articulate,to express something clearly using language,verb,考えをはっきり言う
artificial,not made by people; not created by nature,adj,人工の
auction,To sell to a person offering the highest price,verb,競売で売る
audio,concerning sound,adj,音声の
autonomy,the power to make independent decisions,n,自治権；自立性
barrel,a round container with curved sides and flat ends,n,樽；バレル
basin,a sink; a place in a bathroom to wash your face,n,たらい；盆地
biologist,a scientist who studies living things,n,生物学者
biology,the study of living things,n,生物学
bizarre,odd or strange,adj,奇妙な
bonus,extra money for achieving/exceeding target,n pl.,ボーナス；賞与
bubble,a small ball of air inside of a liquid,n,泡
bulk,big size; largeness; heaviness,n,体積； 容積； 多量
bullet,metal object fired from a gun,n,弾丸
bundle,a group of things that are tied together,n,束，束ねる
calcium,"a substance important for human and animal health, particularly for making bones and teeth",n,カルシウム
campus,"the site of an institution, such as a university campus",n pl.,キャンパス
capitalism,economic system based on private ownership of money,n,資本主義
capitalist,one believing in private ownership of money,n,資本家； 資本主義者
censor,"to remove parts of a book, film or letter for moral, religious, or political reasons",n,検閲官，検閲する
chemistry,the study of the structure of substances,n,化学
chronic,over a long time; serious,adj,慢性的な
chunk,a large bit of something; thick lump,n,大きな塊
cinema,a place for showing movies,n,映画；映画館
classification,putting similar items into groups or sets,n,分類
classify,To arrange things into groups of similar items,verb,分類する
clay,"heavy, sticky earth used to make pottery",n,粘土
clone,to make an exact copy of a living thing,verb,クローンを作る
closure,the act of closing something,n,終末
cognitive,the process of knowing and remembering,adj,認知の
coherent,(of language/ideas) logical and well-organized,adj,まとまった；理解しやすい
commodity,"Something useful or valuable, usually for sale",n,商品；日用品
compact,packed together; closely united; small,adj,小型の，圧縮する
comparative,expressing a difference in degree,adj,比較の
competence,ability to do something in a fully satisfactory way,n,能力
complement,something needed to complete or make perfect,n,補足， 補足する； 完全にする
comply,to act in agreement with another's wishes; to obey a rule,verb,従う
comprehension,ability to understand,n,理解
configuration,a shape or outline; a method of arrangement,n,形状
consensus,a decision that is shared by most of the members of a group,n pl.,合意；コンセンサス
contrary,different; opposite,adj,逆の，反対
cord,"a long, strong material, thicker than string but not as thick as rope; an electrical wire",n,ひも；コード
credibility,quality of being believable or deserving of trust,n,信頼性
critique,a review of the quality of a work,n,批評
crude,"basic or made without skill, such as a crude drawing",adj,原油，自然の；粗雑な
deadline,a date or time before which something must be done,n,締め切り
decay,to be slowly broken down by natural processes,verb,腐敗；減衰，腐敗する；崩壊する
defect,a problem; a fault,n,欠陥
deficiency,without something that is necessary,n,欠乏
dependence,relying on someone for (financial) support,n,依存
destination,the place one is traveling to,n,目的地；宛先
diagnose,"to determine the cause of something, e.g. an illness",verb,診断する
diagnosis,a judgment by a doctor about a person’s illness,n pl.,診断
diagram,a drawing intended to explain how something works,n,図
diameter,the distance across the center of an object,n,直径
diary,blank book in which you write what you did each day,n,日記
dictionary,a book with the spellings and meanings of many words,n,辞書
differentiate,to see or show a difference between things,verb,区別する；差別化する
differentiation,a discrimination between things as different and distinct,n,差別化；分化
dilemma,a position in which a person must make difficult choices,n,ジレンマ 
dioxide,an oxide containing two oxides per molecule,n,二酸化
disadvantage,a negative point; a downside; difficulty,n,不利な点
displacement,the act of taking the place of something or someone else,n,移動；置換
dissolve,to melt into a liquid so that a substance mixes with the liquid itself,verb,溶解する
domain,"a field of action, thought or influence; an area of knowledge",n,領域；ドメイン
donor,a person or group that gives gifts or money to help support an organization or cause,n,寄贈者
duration,the length of time that something lasts,n,持続；継続期間
dynamic,always active or changing; in physics: a force related to motion,adj,動的な; 活動的な
ecological,"concerning the environment, plants, or animals",adj,生態学的な
electron,a negatively charged particle,n,電子
elementary,"basic, simple, or essential",adj,初等の
emperor,man who rules an empire,n,皇帝
empirical,based on observation or experiment,adj,実証的な；経験による
entity,something that is real,n,実体
essence,the most important part or quality of something,n,本質
ethical,morally right or wrong,adj,倫理的な
ethics,"the moral principles, standards, and rules for deciding what is right and wrong",n pl.,倫理学；道徳
exit,a door that you go through to leave a place,n,出口；終了
expertise,the special knowledge that an expert has,n,専門知識
fever,a high body temperature,n,熱
fluid,a material that can easily flow. e.g. water,adj,流体（名）、 流動的な（形）
forum,meeting where people can openly discuss a subject,n,フォーラム、講演会、座談会
fossil,a plant or animal that has become rock after many thousands of years,n,化石
fraction,a part of a whole,n,一部；少量；分数
fracture,the result of breaking a hard material; a crack,n,骨折，骨折する；砕く
fringe,the edge of something; such as the decorative edge on a piece of clothing,n,縁；縞（しま）
fusion,"when different styles, ideas or designs combine to form something new; in physics: when atoms combine to produce nuclear energy",n,融合
gauge,a tool used to measure things,n,計測器，測定する
goat,small animal with beard and horns,n,ヤギ
graph,image expressing numerical data in lines or shapes,n,図表；グラフ
grid,a metal structure with bars that is used to cover a hole,n,格子；送電網
gut,"the parts inside: a human body, animal body or a machine",n,腸
habitat,"the natural place, or type of place, where a plant or animal lives",n,生息地
harvest,the time of year to bring crops in from the fields,n,収穫
